Description,Location,Confidence
ENST00000832824.1|ENSG00000290825.2,Cytosol,0.8055837750434875
ENST00000832825.1|ENSG00000290825.2,Cytosol,0.8090723752975464
ENST00000832826.1|ENSG00000290825.2,Cytosol,0.8140787482261658
ENST00000832827.1|ENSG00000290825.2,Cytosol,0.8111768960952759
ENST00000832828.1|ENSG00000290825.2,Cytosol,0.8073601126670837
ENST00000832829.1|ENSG00000290825.2,Cytosol,0.8024802803993225
ENST00000832837.1|ENSG00000290825.2,Cytosol,0.8105175495147705
ENST00000832831.1|ENSG00000290825.2,Cytosol,0.8022535443305969
ENST00000832835.1|ENSG00000290825.2,Cytosol,0.8016212582588196
ENST00000832840.1|ENSG00000290825.2,Cytosol,0.8044120669364929
ENST00000832843.1|ENSG00000290825.2,Cytosol,0.8342491388320923
ENST00000832844.1|ENSG00000290825.2,Cytosol,0.8018894195556641
ENST00000832823.1|ENSG00000290825.2,Cytosol,0.8309072852134705
ENST00000831746.1|ENSG00000310526.1,Cytosol,0.8853017687797546
ENST00000831201.1|ENSG00000310526.1,Cytosol,0.898779571056366
ENST00000831165.1|ENSG00000310526.1,Cytosol,0.8092997670173645
ENST00000831154.1|ENSG00000310526.1,Cytosol,0.8774155974388123
ENST00000831157.1|ENSG00000310526.1,Cytosol,0.8340473175048828
ENST00000831145.1|ENSG00000310526.1,Cytosol,0.8307983875274658
ENST00000831146.1|ENSG00000310526.1,Cytosol,0.8790003657341003
ENST00000831177.1|ENSG00000310526.1,Cytosol,0.8615131974220276
ENST00000831172.1|ENSG00000310526.1,Cytosol,0.8689894676208496
ENST00000831158.1|ENSG00000310526.1,Cytosol,0.8380217552185059
ENST00000831206.1|ENSG00000310526.1,Cytosol,0.950170636177063
ENST00000831205.1|ENSG00000310526.1,Cytosol,0.9123829007148744
ENST00000831204.1|ENSG00000310526.1,Cytosol,0.8270187973976135
ENST00000831185.1|ENSG00000310526.1,Cytosol,0.8887184262275696
ENST00000831173.1|ENSG00000310526.1,Cytosol,0.8129432201385498
ENST00000831170.1|ENSG00000310526.1,Cytosol,0.8715433478355408
ENST00000831189.1|ENSG00000310526.1,Cytosol,0.8604393005371094
ENST00000831161.1|ENSG00000310526.1,Cytosol,0.8791157007217407
ENST00000831747.1|ENSG00000310526.1,Cytosol,0.8421279191970825
ENST00000831210.1|ENSG00000310526.1,Cytosol,0.8694151043891907
ENST00000831215.1|ENSG00000310526.1,Cytosol,0.8095539212226868
ENST00000831417.1|ENSG00000310526.1,Cytosol,0.8567295074462891
ENST00000831361.1|ENSG00000310526.1,Cytosol,0.8395000696182251
ENST00000831363.1|ENSG00000310526.1,Cytosol,0.8148602843284607
ENST00000831369.1|ENSG00000310526.1,Cytosol,0.8079251050949097
ENST00000831337.1|ENSG00000310526.1,Cytosol,0.8341148495674133
ENST00000831333.1|ENSG00000310526.1,Cytosol,0.8091810941696167
ENST00000831289.1|ENSG00000310526.1,Cytosol,0.9167688488960266
ENST00000831272.1|ENSG00000310526.1,Cytosol,0.8090996742248535
ENST00000831275.1|ENSG00000310526.1,Cytosol,0.818873405456543
ENST00000831261.1|ENSG00000310526.1,Cytosol,0.8665673732757568
ENST00000831253.1|ENSG00000310526.1,Cytosol,0.8100635409355164
ENST00000831248.1|ENSG00000310526.1,Cytosol,0.8387938737869263
ENST00000831222.1|ENSG00000310526.1,Cytosol,0.8065545558929443
ENST00000831229.1|ENSG00000310526.1,Cytosol,0.8750008940696716
ENST00000831230.1|ENSG00000310526.1,Cytosol,0.8837425708770752
ENST00000831231.1|ENSG00000310526.1,Cytosol,0.8314799070358276
ENST00000831219.1|ENSG00000310526.1,Cytosol,0.8498331904411316
ENST00000831218.1|ENSG00000310526.1,Cytosol,0.8328162431716919
ENST00000831414.1|ENSG00000310526.1,Cytosol,0.8734054565429688
ENST00000831359.1|ENSG00000310526.1,Cytosol,0.8539305329322815
ENST00000831279.1|ENSG00000310526.1,Cytosol,0.8702031970024109
ENST00000831707.1|ENSG00000310526.1,Cytosol,0.8498395085334778
ENST00000831699.1|ENSG00000310526.1,Cytosol,0.8524888753890991
ENST00000831700.1|ENSG00000310526.1,Cytosol,0.8301992416381836
ENST00000831702.1|ENSG00000310526.1,Cytosol,0.8271151781082153
ENST00000831703.1|ENSG00000310526.1,Cytosol,0.8430230021476746
ENST00000831705.1|ENSG00000310526.1,Cytosol,0.8184093236923218
ENST00000831706.1|ENSG00000310526.1,Cytosol,0.8915648460388184
ENST00000831505.1|ENSG00000310526.1,Cytosol,0.8406705260276794
ENST00000831506.1|ENSG00000310526.1,Cytosol,0.8722106218338013
ENST00000831491.1|ENSG00000310526.1,Cytosol,0.8092011213302612
ENST00000831499.1|ENSG00000310526.1,Cytosol,0.8547239899635315
ENST00000831464.1|ENSG00000310526.1,Cytosol,0.8502610921859741
ENST00000831430.1|ENSG00000310526.1,Cytosol,0.9125024080276488
ENST00000831433.1|ENSG00000310526.1,Cytosol,0.8277792930603027
ENST00000831438.1|ENSG00000310526.1,Cytosol,0.8557282090187073
ENST00000831439.1|ENSG00000310526.1,Cytosol,0.8414048552513123
ENST00000831444.1|ENSG00000310526.1,Cytosol,0.8277422189712524
ENST00000831447.1|ENSG00000310526.1,Cytosol,0.8470094799995422
ENST00000831381.1|ENSG00000310526.1,Cytosol,0.8094350099563599
ENST00000831382.1|ENSG00000310526.1,Cytosol,0.8737375140190125
ENST00000831394.1|ENSG00000310526.1,Cytosol,0.867568850517273
ENST00000831396.1|ENSG00000310526.1,Cytosol,0.8487288951873779
ENST00000831398.1|ENSG00000310526.1,Cytosol,0.852479875087738
ENST00000831457.1|ENSG00000310526.1,Cytosol,0.8119823932647705
ENST00000831357.1|ENSG00000310526.1,Cytosol,0.8159922957420349
ENST00000831370.1|ENSG00000310526.1,Cytosol,0.8061874508857727
ENST00000831340.1|ENSG00000310526.1,Cytosol,0.817520260810852
ENST00000831341.1|ENSG00000310526.1,Cytosol,0.8601572513580322
ENST00000831344.1|ENSG00000310526.1,Cytosol,0.8598315715789795
ENST00000831319.1|ENSG00000310526.1,Cytosol,0.8115507960319519
ENST00000831323.1|ENSG00000310526.1,Cytosol,0.8056461215019226
ENST00000831324.1|ENSG00000310526.1,Cytosol,0.8167875409126282
ENST00000831325.1|ENSG00000310526.1,Cytosol,0.8656067252159119
ENST00000831312.1|ENSG00000310526.1,Cytosol,0.8664832711219788
ENST00000831281.1|ENSG00000310526.1,Cytosol,0.810302197933197
ENST00000831290.1|ENSG00000310526.1,Cytosol,0.8463648557662964
ENST00000831292.1|ENSG00000310526.1,Cytosol,0.8685625195503235
ENST00000831295.1|ENSG00000310526.1,Cytosol,0.8377984166145325
ENST00000831302.1|ENSG00000310526.1,Cytosol,0.923167884349823
ENST00000831305.1|ENSG00000310526.1,Cytosol,0.8856513500213623
ENST00000831559.1|ENSG00000310526.1,Cytosol,0.8528656363487244
ENST00000831237.1|ENSG00000310526.1,Cytosol,0.9156386852264404
ENST00000831240.1|ENSG00000310526.1,Cytosol,0.8671754598617554
ENST00000831242.1|ENSG00000310526.1,Cytosol,0.8671059012413025
ENST00000831246.1|ENSG00000310526.1,Cytosol,0.9220917224884032
ENST00000831311.1|ENSG00000310526.1,Cytosol,0.8271375894546509
ENST00000831140.1|ENSG00000310526.1,Cytosol,0.8098663687705994
ENST00000831508.1|ENSG00000310526.1,Cytosol,0.8422473669052124
ENST00000831509.1|ENSG00000310526.1,Cytosol,0.8214089870452881
ENST00000831514.1|ENSG00000310526.1,Cytosol,0.8904238939285278
ENST00000831482.1|ENSG00000310526.1,Cytosol,0.848482072353363
ENST00000831484.1|ENSG00000310526.1,Cytosol,0.8270743489265442
ENST00000831470.1|ENSG00000310526.1,Cytosol,0.8606388568878174
ENST00000831460.1|ENSG00000310526.1,Cytosol,0.8529115915298462
ENST00000831408.1|ENSG00000310526.1,Cytosol,0.8023338913917542
ENST00000831376.1|ENSG00000310526.1,Cytosol,0.8173211216926575
ENST00000831351.1|ENSG00000310526.1,Cytosol,0.9103406667709352
ENST00000831355.1|ENSG00000310526.1,Cytosol,0.8610621094703674
ENST00000831334.1|ENSG00000310526.1,Cytosol,0.8579316139221191
ENST00000831338.1|ENSG00000310526.1,Cytosol,0.826632022857666
ENST00000831326.1|ENSG00000310526.1,Cytosol,0.810506284236908
ENST00000831314.1|ENSG00000310526.1,Cytosol,0.8704302906990051
ENST00000831487.1|ENSG00000310526.1,Cytosol,0.8110916018486023
ENST00000831739.1|ENSG00000310526.1,Cytosol,0.8134876489639282
ENST00000831524.1|ENSG00000310526.1,Cytosol,0.8885900378227234
ENST00000831533.1|ENSG00000310526.1,Cytosol,0.883920431137085
ENST00000831528.1|ENSG00000310526.1,Cytosol,0.8718356490135193
ENST00000831527.1|ENSG00000310526.1,Cytosol,0.8839072585105896
ENST00000831526.1|ENSG00000310526.1,Cytosol,0.9376125931739808
ENST00000831535.1|ENSG00000310526.1,Cytosol,0.8827670812606812
ENST00000831534.1|ENSG00000310526.1,Cytosol,0.8517791628837585
ENST00000831530.1|ENSG00000310526.1,Cytosol,0.8655634522438049
ENST00000831531.1|ENSG00000310526.1,Cytosol,0.8585268259048462
ENST00000831532.1|ENSG00000310526.1,Cytosol,0.9287297129631042
ENST00000831529.1|ENSG00000310526.1,Cytosol,0.8869718313217163
ENST00000831628.1|ENSG00000310526.1,Cytosol,0.8328948020935059
ENST00000831555.1|ENSG00000310526.1,Cytosol,0.8272491097450256
ENST00000831710.1|ENSG00000310526.1,Cytosol,0.8035324215888977
ENST00000831603.1|ENSG00000310526.1,Cytosol,0.9009752869606018
ENST00000831604.1|ENSG00000310526.1,Cytosol,0.8490949273109436
ENST00000831558.1|ENSG00000310526.1,Cytosol,0.8236381411552429
ENST00000831544.1|ENSG00000310526.1,Cytosol,0.8213085532188416
ENST00000831539.1|ENSG00000310526.1,Cytosol,0.910431146621704
ENST00000831540.1|ENSG00000310526.1,Cytosol,0.9107813835144044
ENST00000831712.1|ENSG00000310526.1,Cytosol,0.8697835803031921
